Matrix size (n)   Numerical Accuracy
================================
           1         0.000000e+00
           2         0.000000e+00
           3         0.000000e+00
           4         0.000000e+00
           5         0.000000e+00
           6         0.000000e+00
           7         0.000000e+00
           8         0.000000e+00
           9         2.423381e-27
          10         0.000000e+00
          11         1.373249e-26
          12         0.000000e+00
          13         2.342601e-26
          14         0.000000e+00
          15         4.523644e-26
          16         0.000000e+00
          17         4.200527e-26
          18         0.000000e+00
          19         8.401053e-26
          20         0.000000e+00
          21         4.523644e-26
          22         0.000000e+00
          23         3.231174e-25
          24         0.000000e+00
          25         3.651227e-25
          26         0.000000e+00
          27         4.426709e-25
          28         0.000000e+00
          29         4.006656e-25
          30         0.000000e+00
          31         4.135903e-25
          32         0.000000e+00
          33         5.945361e-25
          34         0.000000e+00
          35         1.874081e-24
          36         0.000000e+00
          37         6.591596e-25
          38         0.000000e+00
          39         1.370018e-24
          40         0.000000e+00
          41         2.158424e-24
          42         0.000000e+00
          43         1.176147e-24
          44         0.000000e+00
          45         2.223048e-24
          46         0.000000e+00
          47         2.895132e-24
          48         0.000000e+00
          49         6.772541e-24
          50         0.000000e+00
          51         3.838635e-24
          52         0.000000e+00
          53         4.562418e-24
          54         0.000000e+00
          55         4.161752e-24
          56         0.000000e+00
          57         5.635168e-24
          58         0.000000e+00
          59         5.893662e-24
          60         0.000000e+00
          61         6.514047e-24
          62         0.000000e+00
          63         1.085675e-23
          64         0.000000e+00
          65         1.850817e-23
          66         7.501494e-23
          67         1.231982e-22
          68         1.634716e-22
          69         2.452591e-22
          70         2.912193e-22
          71         3.800378e-22
          72         4.653925e-22
          73         6.352747e-22
          74         6.892999e-22
          75         7.923873e-22
          76         9.725576e-22
          77         1.125689e-21
          78         1.455217e-21
          79         1.506813e-21
          80         1.868756e-21
          81         2.131800e-21
          82         2.370131e-21
          83         2.774726e-21
          84         3.029342e-21
          85         3.311928e-21
          86         4.022528e-21
          87         4.528452e-21
          88         4.348850e-21
          89         4.938889e-21
          90         5.334022e-21
          91         5.798898e-21
          92         6.294224e-21
          93         6.723272e-21
          94         7.950446e-21
          95         7.675306e-21
          96         8.943063e-21
          97         9.120545e-21
          98         1.014713e-20
          99         1.131107e-20
